Wavenumber,Reflectivity,,,,Wavelength um,Ref decimal,,new column for sorting,Wavelength,ref
831.2042,6.08985,,,,12.03073805,0.0608985,,,2.601730255,0.0491243
833.1328,6.12973,,,,12.00288838,0.0612973,,,2.603035973,0.0493084
835.0613,6.14372,,,,11.97516877,0.0614372,,,2.604343681,0.0496376
836.9899,6.09391,,,,11.94757547,0.0609391,,,2.605652024,0.0498979
838.9184,5.96175,,,,11.92011047,0.0596175,,,2.606962362,0.0497562
840.8469,5.83343,,,,11.89277144,0.0583343,,,2.608274019,0.0496793
842.7755,5.83504,,,,11.86555613,0.0583504,,,2.609586315,0.0496581
844.704,5.85535,,,,11.83846649,0.0585535,,,2.610900615,0.049556
846.6326,5.802,,,,11.81149887,0.05802,,,2.612215556,0.0495757
848.5612,5.71132,,,,11.78465384,0.0571132,,,2.613532505,0.0496801
850.4896,5.61193,,,,11.75793331,0.0561193,,,2.6148501,0.0498242
852.4182,5.50043,,,,11.73133094,0.0550043,,,2.616169708,0.0504257
854.3468,5.39102,,,,11.70484866,0.0539102,,,2.617489963,0.0504709
856.2753,5.2952,,,,11.67848705,0.052952,,,2.618812238,0.0500909
858.2039,5.21399,,,,11.65224255,0.0521399,,,2.620135849,0.0503273
860.1324,5.14698,,,,11.6261171,0.0514698,,,2.621460111,0.0500139
862.0609,5.09715,,,,11.60010853,0.0509715,,,2.622785713,0.0495764
863.9895,5.05702,,,,11.57421473,0.0505702,,,2.624113345,0.0495906
865.9181,5.02857,,,,11.54843628,0.0502857,,,2.625442321,0.0498384
867.8466,5.02838,,,,11.52277373,0.0502838,,,2.626771955,0.050066
869.7751,5.04835,,,,11.49722497,0.0504835,,,2.628103626,0.0498546
871.7037,5.07371,,,,11.47178795,0.0507371,,,2.629435957,0.0499851
873.6322,5.12091,,,,11.44646454,0.0512091,,,2.630770332,0.0500641
875.5608,5.18765,,,,11.42125139,0.0518765,,,2.632105368,0.0496635
877.4894,5.25715,,,,11.39614906,0.0525715,,,2.633442454,0.0495269
879.4178,5.33538,,,,11.37115942,0.0533538,,,2.634780205,0.0493836
881.3464,5.40674,,,,11.34627656,0.0540674,,,2.636120011,0.049196
883.275,5.46469,,,,11.32150236,0.0546469,,,2.63746118,0.049136
885.2035,5.5181,,,,11.29683739,0.055181,,,2.638803018,0.0492036
887.1321,5.57622,,,,11.27227839,0.0557622,,,2.640146919,0.0493097
889.0607,5.63565,,,,11.24782594,0.0563565,,,2.641491492,0.0494176
890.9891,5.68709,,,,11.22348186,0.0568709,,,2.642838133,0.049415
892.9177,5.71808,,,,11.19924042,0.0571808,,,2.644185449,0.0494344
894.8463,5.72525,,,,11.17510348,0.0572525,,,2.64553484,0.0497215
896.7748,5.70681,,,,11.1510716,0.0570681,,,2.646884908,0.0497062
898.7034,5.68295,,,,11.12714161,0.0568295,,,2.648237055,0.0495989
900.632,5.68407,,,,11.10331412,0.0568407,,,2.649590585,0.0496648
902.5604,5.68929,,,,11.07959091,0.0568929,,,2.650944797,0.0499424
904.489,5.66929,,,,11.05596641,0.0566929,,,2.652301097,0.0504009
906.4176,5.61157,,,,11.03244244,0.0561157,,,2.653658081,0.0504884
908.3461,5.54575,,,,11.00901958,0.0554575,,,2.655017159,0.0504377
910.2747,5.50311,,,,10.98569476,0.0550311,,,2.656376925,0.050383
912.2032,5.48412,,,,10.96246977,0.0548412,,,2.657738791,0.0503604
914.1317,5.45653,,,,10.93934277,0.0545653,,,2.659101346,0.0506607
916.0603,5.41205,,,,10.91631195,0.0541205,,,2.660466007,0.0507544
917.9889,5.3734,,,,10.8933779,0.053734,,,2.661831361,0.0507307
919.9174,5.33201,,,,10.8705412,0.0533201,,,2.663198827,0.0509464
921.8459,5.30253,,,,10.84780005,0.0530253,,,2.664567698,0.0516145
923.7745,5.28589,,,,10.82515268,0.0528589,,,2.665937266,0.051925
925.703,5.28301,,,,10.80260083,0.0528301,,,2.667308955,0.0516051
927.6316,5.28428,,,,10.7801416,0.0528428,,,2.668681343,0.0513703
